date,sentiment_score,Date,daily_return
2009-04-27,0.0,2009-04-27,0.006698720772810196
2009-04-29,0.0,2009-04-29,0.01000772588220289
2009-05-22,0.0,2009-05-22,-0.013528486275602991
2009-05-27,0.2340909090909091,2009-05-27,0.017357095419747948
2009-05-29,0.06818181818181818,2009-05-29,0.005478662188065586
2009-06-01,0.0,2009-06-01,0.026065463252459287
2009-06-02,0.0,2009-06-02,0.001004782246124103
2009-06-05,0.08333333333333333,2009-06-05,0.006470095209601956
2009-06-08,0.21818181818181817,2009-06-08,-0.005668202820375168
2009-06-09,0.0,2009-06-09,-0.007855820265303737
2009-06-15,0.0,2009-06-15,-0.0064259392323385844
2009-06-16,0.7333333333333334,2009-06-16,0.0019109734300457593
2009-06-19,0.0,2009-06-19,0.026494070075593568
2009-06-22,1.0,2009-06-22,-0.015127618487984051
2009-06-30,0.325,2009-06-30,0.0032402460475535744
2009-07-07,0.0,2009-07-07,-0.023158984703065877
2009-07-08,0.0,2009-07-08,0.013441475756406085
2009-07-10,0.0,2009-07-10,0.015840019237687963
2009-07-14,0.0,2009-07-14,-0.0004921709169307675
2009-07-15,0.0,2009-07-15,0.032403371258378666
2009-07-16,0.0,2009-07-16,0.004357531580317264
2009-07-17,0.0,2009-07-17,0.028673920787978924
2009-07-21,0.22857142857142862,2009-07-21,-0.009155646507611359
2009-07-24,0.0,2009-07-24,0.0137497436655718
2009-07-27,0.041490299823633156,2009-07-27,0.0006872986032273598
2009-07-30,0.0,2009-07-30,0.01724703623989865
2009-08-03,0.25,2009-08-03,0.01860616023826478
2009-08-04,-0.08571428571428572,2009-08-04,-0.005287814097848176
2009-08-06,0.023760932944606416,2009-08-06,-0.007268004568345088
2009-08-07,0.07361481944556478,2009-08-07,0.009761395191095756
2009-08-10,0.07145897981074972,2009-08-10,-0.00477328724444559
2009-08-11,0.11328914141414141,2009-08-11,-0.01147401477641019
2009-08-12,0.042135676040751226,2009-08-12,0.015230864176912773
2009-08-13,0.08783723231879914,2009-08-13,0.018812684000429236
2009-08-17,0.12082858421466017,2009-08-17,-0.04311099448903832
2009-08-18,0.11666666666666665,2009-08-18,0.02763367437667341
2009-08-19,0.06666666666666667,2009-08-19,0.003658068670851833
2009-08-21,0.11607142857142858,2009-08-21,0.01737464013734158
2009-08-24,-0.009764309764309757,2009-08-24,-0.0009453318284762258
2009-08-25,0.039930792891319206,2009-08-25,0.002011221918784001
2009-08-26,0.06621212121212121,2009-08-26,-0.01174734294845825
2009-08-27,0.10115384615384615,2009-08-27,0.012185605310445435
2009-08-28,-0.12052380952380952,2009-08-28,0.0035407882496849563
2009-08-31,-0.003789983164983167,2009-08-31,-0.010820018819930333
2009-09-01,-0.006083654000320671,2009-09-01,-0.017300103024247115
2009-09-02,0.06647241647241647,2009-09-02,-0.0007255731439612667
2009-09-03,0.04574074074074074,2009-09-03,0.008293486052342924
2009-09-04,0.0702,2009-09-04,0.022575991214936808
2009-09-08,0.06645250827603769,2009-09-08,0.015383958414658672
2009-09-09,0.0029143475572046998,2009-09-09,-0.010351184545459025
2009-09-10,0.05383766233766234,2009-09-10,0.008296870737414475
2009-09-11,0.026949598021026592,2009-09-11,-0.002318044288939003
2009-09-14,0.060927305845338633,2009-09-14,0.009061744741724054
2009-09-15,0.06309577652861235,2009-09-15,0.008288960421094504
2009-09-16,0.12268257575757575,2009-09-16,0.03830803702631247
2009-09-17,0.04654829545454545,2009-09-17,0.014735597786778465
2009-09-18,0.07385732323232323,2009-09-18,0.0025467030488730558
2009-09-21,0.08819109461966605,2009-09-21,-0.005404672827077683
2009-09-22,0.12844155844155844,2009-09-22,0.0024997383844860277
2009-09-23,0.10443646996278574,2009-09-23,0.005529419719886075
2009-09-24,0.07998106060606061,2009-09-24,-0.009056892658141025
2009-09-25,0.005480895915678524,2009-09-25,-0.007888225666574544
2009-09-28,0.03068764568764569,2009-09-28,0.02072665666567497
2009-09-29,0.11577060931899642,2009-09-29,-0.004136000411077645
2009-09-30,0.13530776515151516,2009-09-30,-0.00016204361907190545
2009-10-01,0.024132231404958678,2009-10-01,-0.024224158682450314
2009-10-02,0.102,2009-10-02,0.02233780765515525
2009-10-05,0.09905560231949122,2009-10-05,0.006057095070663321
2009-10-06,0.03728911135161135,2009-10-06,0.021449436528177657
2009-10-07,0.052842712842712844,2009-10-07,0.001263179616386223
2009-10-08,0.10995714285714285,2009-10-08,-0.005151219959734998
2009-10-09,0.12956228956228955,2009-10-09,0.006340341216645173
2009-10-12,0.08844251336898397,2009-10-12,0.001784898742295038
2009-10-13,0.15631794131794133,2009-10-13,-0.004140136228594882
2009-10-14,0.22184684684684686,2009-10-14,0.006683490977698936
2009-10-15,0.10030388207471541,2009-10-15,-0.003816251297829587
2009-10-16,0.056363636363636366,2009-10-16,-0.013171797296793852
2009-10-19,0.033952922077922075,2009-10-19,0.009625096108453635
2009-10-20,0.05586115391200137,2009-10-20,0.046876833321994216
2009-10-21,0.07848581973581974,2009-10-21,0.030992031036496615
2009-10-22,0.07622119633838384,2009-10-22,0.0013660836443463165
2009-10-23,0.13872256681958176,2009-10-23,-0.006140299849485831
2009-10-26,0.07748785120108649,2009-10-26,-0.007158688195835539
2009-10-27,0.0311763468013468,2009-10-27,-0.025236963771618326
2009-10-28,0.03630494130494131,2009-10-28,-0.02518126775078189
2009-10-29,0.14429699537750384,2009-10-29,0.02052977454982452
2009-10-30,0.10998840254395809,2009-10-30,-0.039979035490862236
2009-11-02,0.039314296814296816,2009-11-02,0.004296720651342234
2009-11-03,0.038103609353609354,2009-11-03,-0.002958123016660763
2009-11-04,0.07465909090909091,2009-11-04,0.010914035386181409
2009-11-05,0.07195385092581354,2009-11-05,0.016875160798380362
2009-11-06,0.09135802469135802,2009-11-06,0.0015981459453635605
2009-11-09,0.12371129970139871,2009-11-09,0.036636796461817056
2009-11-10,0.042760007482229696,2009-11-10,0.007544558096550524
2009-11-11,0.07365530303030303,2009-11-11,0.0013304584235831474
2009-11-12,0.13886285776573545,2009-11-12,-0.0061995192257204845
2009-11-13,0.08723601999375197,2009-11-13,0.012178949053348154
2009-11-16,0.07912953060011885,2009-11-16,0.01066310551880223
2009-11-17,0.08721955580651232,2009-11-17,0.0017903024645542498
2009-11-18,0.09709942834942836,2009-11-18,-0.00502440367905832
2009-11-19,0.07745238646002005,2009-11-19,-0.026461061579046152
2009-11-20,0.08828731762065095,2009-11-20,-0.002942547311749699
2009-11-23,0.112313868164932,2009-11-23,0.029811961210262528
2009-11-24,0.10584637964774951,2009-11-24,-0.006994469300084516
2009-11-25,0.10553636363636362,2009-11-25,-0.0012227414914447454
2009-11-27,0.11386980267794221,2009-11-27,-0.017630783134731765
2009-11-30,0.10314009807065362,2009-11-30,-0.0033900918140998826
2009-12-01,0.12223373975667554,2009-12-01,-0.014706440616197636
2009-12-02,0.11493775624728006,2009-12-02,-0.003756931922675788
2009-12-03,0.10280211931727085,2009-12-03,0.001273899309019777
2009-12-04,0.08883253876924763,2009-12-04,-0.016082804726042843
2009-12-07,0.1617727407168401,2009-12-07,-0.02260529674067613
2009-12-08,0.11335091420534457,2009-12-08,0.004869200075407587
